puzzle_id,clue_count,difficulty,board_string
E1,41,Easy,000700000002001730000008054396200815125600003784300090861493507400007306073050009
E2,40,Easy,000138746634070019810000030083001467002000001070000200401090603058600900060023158
E3,40,Easy,030827000005601000070305000000034095320050018004700362083162904510009830006580100
E4,42,Easy,005932840400580201008401090000000764000200058894756012580049103900800070003005089
E5,42,Easy,586007304470800010001634000060301750057240000039705001010009837340170200700500106
E6,42,Easy,016000090005639740409002030008007900007008314034591060040050000503816072780024603
E7,41,Easy,006901050900070086702600941000048100020060490050192000504210300600700802271800564
E8,38,Easy,003040000700080600100000200430756012000020867007090004581379420002014090300260701
E9,39,Easy,040009000060001008135000090800070006520098704070002309310904075050210840400730921
E10,38,Easy,000205030582367009007840050870000000620010094000623800000000000349180007200974183
E11,40,Easy,560740800021050794700100000607010082204907010900000400050071240108604350002003160
E12,41,Easy,053649012004008000010050003980260405600094200432000080008031790300587004007920058
E13,42,Easy,697001800105076940002005100861097000009630708040008006200703089910800005078450620
E14,40,Easy,758901203004006870090870400001200390060094007900367184000718000607030000102050700
E15,38,Easy,009300020026000004308026000600108042482900071107040583970005018030009407800000200
E16,39,Easy,042503170610000900005006240360100000000084307008905021050070409094001760780060012
E17,41,Easy,370904120002071004418020096080009203520300800043780015006035400004690080030208000
E18,42,Easy,845000063000003401003004807520001608718000502036008719001009024080100076974060105
E19,38,Easy,000078516060030000078201039780029054410000002200604870800042060120090005090100008
E20,41,Easy,000780000749010000002904076078100000251040763064200185400001030000438092023097014
E21,42,Easy,105839607060507320000060108006090070708050096092706010040003080680005032273140900
E22,41,Easy,040072000200406000030180042000320061060051800129048050056003009312090080978204035
E23,40,Easy,573006000041003768000402051018054032920008004030920800000069087000005040867341000
E24,39,Easy,085370096207806103390152400000905700030620000000081600800063020000519080500048900
E25,42,Easy,080010000907206108164009050095420860802300504001985020409600010008700036020140085
E26,38,Easy,096710040000085309040903070001028405580009213900041700400006800250100634000800000
E27,41,Easy,050041030090060080470503609015820300009470520604105708900004072007010900500297006
E28,39,Easy,000000478900017360605830920040006589000100700709503146096470003003090000010352000
E29,38,Easy,003500147012000605005100030030245976064790051907600020320000708000000400049300060
E30,38,Easy,370900005928000600605000340037860154000400900409051738000030000746182000080004010
E31,38,Easy,251700080000000000000030009170643520605000073380005001816057400020069100793020065
E32,38,Easy,436091002005060030000025000600038140548007300173600000304080075050000483067400009
E33,39,Easy,000897000748051009050406300007040000480010900500680204375002498900078100816004000
E34,41,Easy,180030650004060020002840000000120587003084900208096400600079000430058201805012736
E35,39,Easy,400810250810050307000000418061580900304071026000600701207100800038000000045098072
E36,39,Easy,703590001140328790068000003009000010007013940006080075850009107000075230070104009
E37,39,Easy,800030002000000305320405891009328504482590610003640000500000206600200007230060150
E38,39,Easy,900800721060009084087021006003650140000040095654918070340005800500000060079086000
E39,40,Easy,060009300270508090095010000706000945051476000040890716620000004030040160407602509
E40,38,Easy,100930064673051008009087100900004000004598600028170400000065942490003070000700300
E41,40,Easy,159004070340900851060210000003056708070009065680070090021090046590008213000020080
E42,42,Easy,954087030000500947763000851236000009807001003591300080609408000415000008320005790
E43,41,Easy,740920060968001320310067500500610000629004100080009072891000000270135004050008710
E44,42,Easy,340206007028340005700500324270400500819030402054082073030000056090024001007003240
E45,40,Easy,000584006060920800000673000107006000589400607030800501070008450650009003248035169
E46,41,Easy,070320008800049320900801406000003000039002000152408003048260039296034705010000642
E47,39,Easy,350000070074513009000800350500091020080305600041002935627150000005209700490700002
E48,41,Easy,019045070570903000008600209702050936000030001060297005000719560057002814601500007
E49,41,Easy,000090706867001940904000100608100007002065009100927068003648501410009000589210600
E50,41,Easy,615037429092004000480092000030010702876203950000975008000700290104309060027080000
