puzzle_id,clue_count,difficulty,board_string
H1,27,Hard,007000900002859100500004000000000700100000090740000200001035402000000000204086359
H2,30,Hard,000600050060540702095007000008400307043000000072080000200810070700004003030070805
H3,30,Hard,030500801000900020820001006000007008602093070940058000070000500000009162000005034
H4,31,Hard,080605000000800006036140080002008030000360000300010700040980070070500014610720090
H5,31,Hard,107300050900007000302000700700032090000495002200700548530940000000003000008601900
H6,31,Hard,000000000004190038000080007070000900240807100563019000000670304001908720400002010
H7,30,Hard,005270960001053240060004700004006000009000376000700010000007600043002087007000030
H8,30,Hard,000000000001970003570400000300200059080104630026800004030000400258000076007600090
H9,29,Hard,004060700070030002300000094902000046001040020050003017020090001000008000690000485
H10,30,Hard,706005032053002140821340050679500004000000500000986000010000200000060000000103000
H11,32,Hard,700080002800045700065107800002050000000400001600200000070310008436070025008500309
H12,29,Hard,000010089500060000913000204207601008000000020090400070000000806700596030050030090
H13,30,Hard,900806000070000008680320019240001706510000002007000050058000000409000000000139840
H14,29,Hard,402000830008200000000003005020000010009421508041378006004600000260009000100000004
H15,28,Hard,000100400000000300814000020009007003307600090020030650080904030005000060900065700
H16,31,Hard,501000003040000000203000800024050009008290030690730000000079000007403020480510097
H17,29,Hard,040010296006020800100000040600000000000406580080700060052000000300092058018070300
H18,28,Hard,045613080000090200000000000300006002900020000604108005500004009409031000000209004
H19,32,Hard,080090000950003000000600379700000402425010080090000751070030024809240007010000030
H20,32,Hard,050130004002074800430000026300090000001350407070426380000500000000040650060000049
H21,27,Hard,090160000000007096000000010500000030600405000001970040000001304140083900000546000
H22,27,Hard,000009001000000030000000007001600300000102056002050140530471980947000500000030000
H23,29,Hard,100500790000931000090206000000050004000860000600000085208010360050000817009680000
H24,27,Hard,030102000100900000000800000092014035000289700070356000000008000916000800004000200
H25,31,Hard,026070000040509610050364098000040081800090000210000900000902003000006820480700000
H26,29,Hard,000000806003200500000100003701305280000010034030020000007641000000000070084573100
H27,32,Hard,700000450200570000000600090070030020809250604042090703000025001027001000310709000
H28,28,Hard,091070048700009003000010079000060030020000060009000807068000090012000700070058020
H29,27,Hard,000000000401000000038100000900000003800501004000009857005080001149000000302010695
H30,30,Hard,003000204040000603020000008600817040000006000007090300000000030079058160265073009
H31,27,Hard,000600000070000000010800030000004008741060520005000040058706001002180400190000800
H32,29,Hard,806009704003004600104000008060001000030000801001300400608503100005476000000000050
H33,29,Hard,090000000000100986230005007000700560007050820060013000308000090050201378000008000
H34,32,Hard,090008600000460700000300015000290170970000000104036052000000200401950086607840000
H35,28,Hard,050000200080000040170080000007643092002800301090020800005060020060005008900030000
H36,30,Hard,000600001100079600608103074000930407060000030700010000003000746000700320040005010
H37,31,Hard,120030000003900000090000003000872030005109070900050100800090006041080200209016780
H38,27,Hard,031000000098004000054080620320800007007050060000210350000070000079030001002000000
H39,31,Hard,100036070060000000090000380051000268840005000302098100235000840000300000080502600
H40,30,Hard,000710000000000547789040300000406001600500070300071006004839000010007093006000700
H41,32,Hard,140300000073402090528090070000000207200018050300000000006007000400806039005020846
H42,32,Hard,050007000006004052000060180009401800210030000000759001090000030725190000030245700
H43,29,Hard,000000047640007039009000580081030405500000002290001070000000000002065190007010020
H44,30,Hard,003040060026109800000260310300780020870000000001000700000304091400500008000698000
H45,28,Hard,076001020050708040840020007500900014090602003702004000005200001000000900009000000
H46,32,Hard,000602054080070000200083971008000005700000100050231000017960002000000580042057010
H47,30,Hard,780000005400800060001020470209007004860530900100040200008094000040008090010050000
H48,30,Hard,000000009830705026000028400300901000010450300095003600001300000500016000003042001
H49,32,Hard,007065018504900020091300000000007831700000400000043060870000000009000173103009604
H50,31,Hard,000000901004930000003125006000580000098602074052000068500000000040200785000450600
